department_name,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
Climate KIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.0,2711.0,3507.0,3530.0,4.0,120.0,504.0,408.0,553.0,27.0
Institute of  Global  Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2802.0,1140.0,1863.0,1683.0,542.0,1664.0,555.0,725.0,862.0,831.0,803.0
Department of Brain Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20816.0,20405.0
Department of Immunology and Inflammation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12017.0,11396.0
Department of Infectious Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38408.0,43441.0
"Department of Metabolism, Digestion and Reproduction",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35978.0,31728.0
Business School (Include Tanaka after 2002),6019.0,7652.0,8791.0,8887.0,10006.0,11827.0,15090.0,17326.0,18025.0,20929.0,25102.0,25534.0,27479.0,31074.0,33396.0,36148.0,41297.0,47294.0,50146.0,52944.0
Other,989.0,774.0,698.0,1455.0,1418.0,1666.0,1518.0,1028.0,1704.0,1192.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Science Communication,0.0,272.0,299.0,352.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Humanities,0.0,0.0,0.0,0.0,0.0,1941.0,2582.0,2891.0,2939.0,2725.0,2887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Non-Faculty (after 2013),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4542.0,4735.0,4698.0,7834.0,6242.0,4408.0,6825.0,5230.0,5226.0
