latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.4649,-121.2109,303.4,1.5,1.2,2025-01-28,2146,Aqua,MODIS,56,61.03,289.9,9.4,D,0
38.3063,-121.2576,332.8,1.5,1.2,2025-01-28,2146,Aqua,MODIS,88,61.03,291.1,59.9,D,0
38.3095,-121.2412,332.4,1.5,1.2,2025-01-28,2146,Aqua,MODIS,88,61.03,290.0,58.7,D,0
38.3028,-121.2514,300.1,1.5,1.2,2025-01-28,2146,Aqua,MODIS,29,61.03,290.0,6.8,D,0
38.1847,-121.5704,304.9,1.6,1.2,2025-01-28,2146,Aqua,MODIS,60,61.03,289.6,12.4,D,0
38.9646,-121.9692,301.1,1.3,1.1,2025-01-29,2225,Aqua,MODIS,44,61.03,287.8,6.6,D,0
38.9244,-121.8655,302.1,1.3,1.1,2025-01-29,2225,Aqua,MODIS,38,61.03,291.2,5.7,D,0
38.9344,-121.8673,300.5,1.3,1.1,2025-01-29,2225,Aqua,MODIS,15,61.03,289.3,5.1,D,0
39.5603,-121.3727,309.1,1.0,1.0,2025-01-30,1809,Terra,MODIS,68,61.03,282.2,12.5,D,0
39.8196,-120.2483,303.4,2.4,1.5,2025-01-30,2127,Aqua,MODIS,56,61.03,290.9,16.5,D,0
39.8071,-120.2434,301.7,2.4,1.5,2025-01-30,2127,Aqua,MODIS,46,61.03,290.6,12.5,D,0
